                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1317,                0.71863,                 1.1921,                0.67582,                0.78892,                0.74802,                0.36931,                 1.8186,                 1.0797,                 1.8866,             0.00028962,             0.00028962,             0.00028962
                     36,                 1.0427,                0.67211,                 1.1864,                0.72281,                0.77539,                0.77813,                0.41827,                 1.7195,                 1.0357,                 1.7465,             0.00028344,             0.00028344,             0.00028344
                     37,                 1.0292,                0.65571,                 1.1609,                0.65249,                0.86486,                0.77529,                0.41301,                 1.7303,                 1.0447,                 1.7599,             0.00027725,             0.00027725,             0.00027725
                     38,                 1.0939,                0.67623,                 1.1793,                0.72509,                0.72973,                0.71928,                0.39752,                 1.7274,                 1.0942,                 1.7168,             0.00027106,             0.00027106,             0.00027106
                     39,                 1.0739,                0.68573,                 1.1678,                0.70194,                0.78378,                 0.7414,                0.38131,                 1.7211,                 1.1666,                 1.7143,             0.00026488,             0.00026488,             0.00026488
                     40,                  1.038,                0.62574,                 1.1419,                0.74254,                0.67568,                0.75707,                0.39315,                 1.7438,                 1.2141,                 1.7595,             0.00025869,             0.00025869,             0.00025869
                     41,                 1.0802,                0.67151,                 1.1397,                0.72062,                 0.7027,                0.73103,                0.36084,                 1.8605,                 1.3294,                 1.8912,              0.0002525,              0.0002525,              0.0002525
                     42,                  1.126,                0.67454,                 1.1579,                0.81001,                0.69159,                0.72212,                0.35815,                  1.817,                 1.3026,                 1.8961,             0.00024631,             0.00024631,             0.00024631
                     43,                   1.02,                0.64546,                 1.1617,                0.76178,                0.69159,                0.73541,                0.36081,                 1.7786,                 1.3098,                 1.8608,             0.00024013,             0.00024013,             0.00024013
                     44,                 1.0342,                0.64509,                 1.1321,                0.70442,                0.67568,                0.73204,                0.34481,                 1.8202,                 1.2643,                 1.9098,             0.00023394,             0.00023394,             0.00023394
                     45,                 1.0468,                0.63327,                 1.1339,                0.68093,                 0.6923,                0.72719,                0.35533,                 1.8303,                 1.2265,                 1.9815,             0.00022775,             0.00022775,             0.00022775
                     46,                 1.0321,                0.60876,                 1.1306,                0.70699,                0.65221,                  0.741,                0.37672,                 1.7565,                 1.2975,                 1.8537,             0.00022156,             0.00022156,             0.00022156
                     47,                0.95752,                0.60377,                 1.1199,                0.86056,                0.59459,                0.75989,                0.38408,                 1.7554,                 1.3182,                 1.8091,             0.00021538,             0.00021538,             0.00021538
                     48,                 1.0259,                0.63105,                 1.1355,                0.85897,                0.59459,                0.75574,                0.38946,                 1.7322,                 1.2562,                 1.7628,             0.00020919,             0.00020919,             0.00020919
                     49,                0.93754,                0.57958,                 1.1028,                0.62574,                0.81343,                0.74875,                0.40132,                 1.7173,                 1.2472,                 1.7477,               0.000203,               0.000203,               0.000203
                     50,                0.94161,                0.57704,                 1.1155,                0.65668,                 0.7027,                0.70727,                0.38548,                 1.7164,                 1.3029,                 1.7853,             0.00019681,             0.00019681,             0.00019681
                     51,                 0.8772,                0.54845,                 1.1092,                0.68958,                0.78058,                0.71098,                0.38384,                 1.6832,                 1.3135,                 1.7578,             0.00019062,             0.00019062,             0.00019062
                     52,                0.91877,                0.54859,                 1.0752,                0.70637,                0.72973,                0.71838,                0.38455,                 1.6629,                 1.3222,                 1.7506,             0.00018444,             0.00018444,             0.00018444
                     53,                 0.8884,                0.53639,                 1.0853,                0.70973,                0.72699,                0.70106,                0.36689,                 1.7028,                 1.3341,                 1.8026,             0.00017825,             0.00017825,             0.00017825
                     54,                0.88365,                0.54685,                 1.0853,                0.70252,                 0.7027,                0.70465,                0.37542,                 1.7701,                 1.3545,                 1.8787,             0.00017206,             0.00017206,             0.00017206
                     55,                0.92071,                0.55084,                 1.0765,                0.68769,                0.67568,                0.71067,                0.37099,                 1.7604,                 1.3434,                 1.8884,             0.00016588,             0.00016588,             0.00016588
                     56,                0.94298,                0.57101,                 1.0946,                0.68736,                 0.7027,                0.75471,                0.41702,                 1.6855,                 1.2093,                 1.8397,             0.00015969,             0.00015969,             0.00015969
                     57,                0.85451,                0.52021,                 1.0768,                0.68353,                0.78378,                  0.775,                0.42626,                 1.6291,                 1.1235,                  1.771,              0.0001535,              0.0001535,              0.0001535
                     58,                0.89632,                0.54612,                 1.0908,                0.61187,                0.86486,                0.76181,                0.40259,                 1.6465,                 1.1146,                 1.8014,             0.00014731,             0.00014731,             0.00014731
                     59,                0.87644,                0.53449,                 1.0877,                0.80437,                0.66696,                0.76331,                0.40604,                  1.659,                 1.1175,                 1.8236,             0.00014113,             0.00014113,             0.00014113
                     60,                0.85505,                0.52471,                  1.076,                0.87926,                0.62162,                0.75148,                0.39175,                 1.6436,                 1.0929,                 1.8033,             0.00013494,             0.00013494,             0.00013494
                     61,                0.86748,                0.53545,                 1.0515,                0.88513,                0.64865,                0.76009,                0.39788,                 1.7005,                 1.1278,                 1.8478,             0.00012875,             0.00012875,             0.00012875
                     62,                0.82244,                0.51446,                 1.0369,                0.82146,                0.62162,                0.74583,                0.39061,                 1.7415,                 1.2319,                 1.8964,             0.00012256,             0.00012256,             0.00012256
                     63,                0.86011,                0.52004,                 1.0792,                0.81632,                0.64865,                 0.7591,                0.40436,                 1.7198,                 1.2282,                 1.8792,             0.00011637,             0.00011637,             0.00011637
                     64,                0.89367,                0.52011,                 1.0526,                0.69771,                0.74872,                 0.7416,                0.39963,                 1.7105,                 1.2812,                 1.8784,             0.00011019,             0.00011019,             0.00011019
                     65,                0.88439,                0.52131,                 1.0591,                0.66615,                0.75676,                 0.7348,                0.39369,                 1.7089,                 1.2814,                 1.9292,               0.000104,               0.000104,               0.000104
                     66,                0.86286,                0.52403,                 1.0416,                0.72116,                0.69907,                0.73485,                0.38641,                 1.7107,                 1.2984,                 1.9077,             9.7812e-05,             9.7812e-05,             9.7812e-05
                     67,                0.79309,                0.48276,                 1.0563,                0.71467,                 0.7027,                0.72892,                0.37186,                 1.7235,                 1.3369,                 1.8919,             9.1625e-05,             9.1625e-05,             9.1625e-05
                     68,                0.78922,                0.48014,                 1.0354,                 0.6565,                0.78378,                0.72658,                0.37588,                 1.7355,                 1.3539,                 1.8943,             8.5437e-05,             8.5437e-05,             8.5437e-05
                     69,                0.79901,                0.48619,                 1.0509,                0.65855,                0.78194,                0.72626,                0.37545,                 1.7139,                 1.3358,                  1.904,              7.925e-05,              7.925e-05,              7.925e-05
                     70,                0.75953,                0.46258,                 1.0463,                0.63205,                0.78378,                0.73263,                0.38428,                 1.6909,                 1.3366,                 1.8941,             7.3062e-05,             7.3062e-05,             7.3062e-05
                     71,                0.78592,                0.50939,                 1.0397,                0.66076,                0.75676,                0.74522,                0.39058,                 1.6827,                 1.2751,                 1.8972,             6.6875e-05,             6.6875e-05,             6.6875e-05
                     72,                0.77315,                0.46848,                 1.0115,                0.71553,                0.74795,                0.73393,                0.38602,                 1.7299,                 1.2587,                 1.9532,             6.0688e-05,             6.0688e-05,             6.0688e-05
                     73,                0.75834,                0.48457,                 1.0095,                0.66564,                0.75676,                 0.7255,                0.38245,                   1.75,                 1.2649,                 1.9807,               5.45e-05,               5.45e-05,               5.45e-05
                     74,                0.76431,                0.45227,                0.99814,                0.67427,                0.72735,                0.70498,                0.37759,                 1.7518,                 1.2854,                 1.9889,             4.8313e-05,             4.8313e-05,             4.8313e-05
                     75,                0.71892,                0.44128,                 1.0255,                0.66955,                0.72973,                0.70832,                0.37927,                 1.7266,                 1.2861,                 1.9754,             4.2125e-05,             4.2125e-05,             4.2125e-05
                     76,                0.74252,                0.44587,                0.98568,                0.67043,                0.72973,                 0.7083,                0.38611,                  1.693,                 1.2912,                 1.9523,             3.5937e-05,             3.5937e-05,             3.5937e-05
                     77,                0.72784,                 0.4334,                0.98868,                0.67133,                0.72973,                0.70761,                0.38411,                 1.6912,                  1.306,                 1.9566,              2.975e-05,              2.975e-05,              2.975e-05
                     78,                0.71643,                0.42024,                0.96607,                0.65293,                0.72973,                 0.7136,                0.37678,                 1.7038,                 1.3404,                 1.9675,             2.3562e-05,             2.3562e-05,             2.3562e-05
                     79,                0.68859,                0.41582,                0.97856,                0.65284,                0.72973,                0.71416,                 0.3769,                 1.6954,                 1.3334,                 1.9611,             1.7375e-05,             1.7375e-05,             1.7375e-05
                     80,                0.70466,                0.41532,                0.98263,                0.65303,                0.72973,                  0.714,                0.38061,                 1.6999,                 1.3449,                 1.9641,             1.1187e-05,             1.1187e-05,             1.1187e-05
