                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1753,                0.70677,                 1.1997,                0.79956,                0.75474,                0.75463,                0.39781,                  1.701,                  0.999,                 1.8263,             0.00033665,             0.00033665,             0.00033665
                     35,                 1.1542,                0.71516,                 1.1903,                 0.6796,                0.91725,                0.77917,                0.37953,                 1.8098,                 1.0796,                 1.9264,              0.0003317,              0.0003317,              0.0003317
                     36,                 1.0717,                0.68519,                 1.2069,                0.73725,                0.89189,                0.79376,                0.38645,                 1.8215,                 1.1336,                 1.9604,             0.00032675,             0.00032675,             0.00032675
                     37,                 1.0394,                0.65598,                 1.1737,                0.66829,                0.87132,                0.74399,                0.36143,                 1.7857,                 1.1296,                 1.9746,              0.0003218,              0.0003218,              0.0003218
                     38,                 1.1043,                0.67659,                 1.1893,                0.82635,                0.64865,                0.75817,                0.38138,                 1.7151,                 1.2367,                 1.8569,             0.00031685,             0.00031685,             0.00031685
                     39,                 1.1098,                 0.7002,                 1.1926,                0.82372,                0.67568,                0.75982,                0.40006,                 1.7853,                 1.2451,                 1.8987,              0.0003119,              0.0003119,              0.0003119
                     40,                 1.0473,                0.63155,                 1.1515,                 0.7077,                0.78378,                0.77647,                0.41487,                 1.6293,                 1.0911,                 1.7217,             0.00030695,             0.00030695,             0.00030695
                     41,                 1.0896,                0.65171,                 1.1471,                0.69376,                0.78378,                0.77758,                0.39228,                  1.711,                 1.1189,                 1.8095,               0.000302,               0.000302,               0.000302
                     42,                 1.1359,                0.67907,                 1.1649,                0.71658,                0.75176,                0.75376,                 0.3863,                 1.7378,                 1.1732,                  1.808,             0.00029705,             0.00029705,             0.00029705
                     43,                 1.0272,                0.62575,                 1.1732,                0.68521,                0.72973,                0.76704,                0.39539,                 1.7116,                 1.1695,                 1.8086,              0.0002921,              0.0002921,              0.0002921
                     44,                 1.0259,                0.63061,                 1.1307,                 0.7482,                 0.7027,                 0.7521,                 0.4092,                 1.6968,                 1.2362,                 1.7939,             0.00028715,             0.00028715,             0.00028715
                     45,                 1.0508,                0.62525,                 1.1342,                0.77116,                0.64865,                0.73999,                0.40106,                 1.6711,                 1.2789,                 1.8099,              0.0002822,              0.0002822,              0.0002822
                     46,                 1.0218,                0.61588,                 1.1269,                0.76944,                0.64865,                0.72533,                0.39167,                 1.6291,                 1.1884,                 1.7892,             0.00027725,             0.00027725,             0.00027725
                     47,                 1.0045,                0.62049,                   1.15,                0.82112,                0.62037,                0.71901,                0.38838,                 1.6509,                  1.173,                 1.8191,              0.0002723,              0.0002723,              0.0002723
                     48,                 1.0532,                0.65541,                  1.159,                0.69339,                0.75676,                0.76161,                0.40301,                 1.6784,                 1.0602,                  1.877,             0.00026735,             0.00026735,             0.00026735
                     49,                0.93777,                0.58863,                 1.1099,                0.68512,                0.86486,                 0.7701,                0.40831,                  1.689,                 1.0598,                 1.8734,              0.0002624,              0.0002624,              0.0002624
                     50,                0.98752,                0.59771,                 1.1382,                0.68009,                0.80448,                0.74357,                0.38627,                 1.7584,                 1.1567,                  1.916,             0.00025745,             0.00025745,             0.00025745
                     51,                0.91757,                0.56727,                 1.1233,                0.67407,                0.81081,                0.78589,                0.38526,                 1.7876,                 1.0981,                 1.9619,              0.0002525,              0.0002525,              0.0002525
