                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3018,                  1.032,                 1.2962,                 0.6083,                0.78378,                 0.7015,                0.37946,                 1.6837,                 1.2628,                 1.6233,             0.00033665,             0.00033665,             0.00033665
                     35,                 1.2645,                 1.0444,                  1.274,                0.71458,                0.64865,                0.67721,                0.34025,                 1.8298,                  1.329,                 1.7471,              0.0003317,              0.0003317,              0.0003317
                     36,                 1.1845,                 1.0221,                 1.2808,                0.68258,                0.75557,                0.65087,                 0.3244,                 1.7715,                 1.2762,                 1.7582,             0.00032675,             0.00032675,             0.00032675
                     37,                 1.1829,                0.98387,                 1.2462,                0.73632,                 0.7027,                0.69031,                0.35353,                 1.7197,                 1.2517,                  1.685,              0.0003218,              0.0003218,              0.0003218
                     38,                 1.2237,                0.97928,                 1.2721,                0.70459,                0.78378,                0.72255,                0.40336,                 1.6629,                 1.1598,                 1.5839,             0.00031685,             0.00031685,             0.00031685
                     39,                 1.2313,                 1.0233,                 1.2857,                0.71515,                0.75676,                0.71569,                0.41536,                 1.6591,                  1.182,                  1.568,              0.0003119,              0.0003119,              0.0003119
                     40,                 1.1762,                0.94646,                 1.2399,                0.73869,                 0.7027,                0.70545,                0.39325,                 1.6728,                 1.1847,                 1.5667,             0.00030695,             0.00030695,             0.00030695
                     41,                 1.2176,                0.97287,                 1.2274,                0.71793,                0.72973,                0.71401,                0.37254,                 1.7418,                 1.1953,                  1.623,               0.000302,               0.000302,               0.000302
                     42,                 1.3071,                 1.0036,                  1.265,                0.76485,                0.72973,                0.71109,                0.37271,                 1.7322,                  1.196,                 1.6799,             0.00029705,             0.00029705,             0.00029705
                     43,                 1.1878,                0.95303,                 1.2651,                0.78557,                 0.6933,                0.73618,                0.39098,                  1.758,                  1.212,                 1.7216,              0.0002921,              0.0002921,              0.0002921
                     44,                 1.2047,                0.97071,                 1.2439,                0.80553,                0.67182,                 0.7575,                0.43023,                 1.6602,                  1.178,                 1.6384,             0.00028715,             0.00028715,             0.00028715
